,1,2,3,4,5,6,7,8,9,10,11,12
A,0.0001807750086300075,5.790407521999441e-05,0.00012662733206525445,8.80601946846582e-05,0.00016559673531446606,6.902022141730413e-05,0.00013864392531104386,0.00015421789430547506,0.00017423047393094748,0.00011975600500591099,0.0014867141144350171,0.00023232483363244683
B,9.270387090509757e-05,0.00011405878467485309,0.00016651191981509328,0.00012143066123826429,9.299733210355043e-05,0.00011323011131025851,0.00011276398436166346,0.0001332916581304744,0.00011240143794566393,0.00014729410759173334,0.00013515629689209163,0.00012048109783791006
C,0.00016651191981509328,0.00010048950935015455,6.410075729945675e-05,0.00010846526856767014,0.00013348156062420458,0.00012997673184145242,0.0001080681977327913,0.000166391022503376,0.00015951876412145793,0.00014651713718194515,0.00016951642464846373,0.00020954506180714816
D,0.00011642398749245331,5.2484243497019634e-05,0.00010996722267009318,0.00023595179663971066,0.00025331004871986806,7.934273889986798e-05,0.00024089147336781025,0.0001858518662629649,0.0001383504131808877,0.00014159634883981198,0.00022520920902024955,0.00017203747120220214
E,0.00010437377932248637,7.910106796771288e-05,0.0001001097189146094,0.0001931219594553113,0.0001616080553503707,6.247821147553623e-05,0.0001345347409369424,0.00015318191435653716,0.000146534395753406,0.00014786388783250004,0.00017276272410526872,0.00013346430205274373
F,9.158178727375343e-05,7.875583105487749e-05,9.717497596284375e-05,0.00013525989197660238,0.0001351735700154677,8.408983558183536e-05,9.555224823998287e-05,0.00014921065303497016,0.0001354843407170847,0.00016870484978426248,0.00016924012743402272,0.00016095190949272364
G,0.00012151698319939896,0.00011466303112683818,0.00014206253399606794,0.00019343278836458921,-0.0043968455865979195,0.00020441599190235138,8.027489093365148e-05,0.00020871612650807947,0.00017328075773548335,0.00017191660299431533,0.00010295817628502846,0.00014625814219471067
H,0.00017334982112515718,8.415888441959396e-05,0.00017419592768419534,0.00013203128764871508,0.00010765387560240924,8.514284854754806e-05,0.00018352062033955008,0.00016936102474574,0.00016877392772585154,2.95460267807357e-05,0.00015742947289254516,0.0001224492589244619



,1,2,3,4,5,6,7,8,9,10,11,12
A,,,,,,,,,,,,
B,,,,,,,,,,,,
C,,,,,,,,,,,,
D,,,,,,,,,,,,
E,,,,,,,,,,,,
F,,,,,,,,,,,,
G,,,,,,,,,,,,
H,,,,,,,,,,,,



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Absorbance %CV



,ID,Well,Absorbance (OD),Mean Absorbance (OD),Dilution Factor,Absorbance %CV
1,Sample 1,,,,1,,,,,,



Protocol
Assay
Sample Wavelength (nm),600
Serial No.,OPTMAA00012
Measurement started at,11 19 22:42:59 2024
Measurement finished at,11 19 22:43:04 2024
